Blockchain,validators,blocknum,inflation,blocksize,DPoS,Liquid Staking,State Size,age,mc,volume,nakamoto,
Akash,100,"5,256,000",11.71,22020096,1,0,,26,"60,867,500","726,020",4,
Assetmantle,65,"5,259,600",77.21,200000,1,0,,8,"13,466,400","189,926",8,
Axelar,50,"5,169,835",15,22020096,1,0,,11,,"764,005",8,
Cerberus,100,"6,311,520",10.75,22020096,1,0,,9,,543,6,
Chihuahua,125,"6,311,520",23.7,22020096,1,0,,12,,"103,045",8,
Comdex,80,"5,259,600",30,22020096,1,0,,12,"6,876,660","18,361",12,
Crescent,50,"3,153,600",54.35,10000000,1,0,,8,"23,924,400","8,859",5,
Crypto.org,100,"6,311,520",2.39,500000,1,0,,21,"3,105,050,000","85,056,800",5,
Evmos,150,"16,765,550",93.65,22020096,1,0,,9,"603,974,000","3,401,090",6,
Gravity Bridge,200,"6,311,520",15.35,22020096,1,0,,12,,"15,005",6,
Injective,40,"13,140,000",8.23,22020096,1,0,,12,"207,502,000","43,959,600",4,
Iris,115,"4,991,452",4,2000000,1,0,,26,"26,646,000","962,009",9,
Juno,150,"5,048,093",20,22020096,1,0,,13,"183,592,000","637,752",8,
Kava,100,"5,256,000",100,,1,0,,36,"429,174,000","29,106,400",2,
Kujira,75,"13,711,304",0,22020096,1,0,,3,"96,140,400","276,119",8,
Osmosis,150,"5,220,327",42.59,10485760,1,1,,22,"729,131,000","21,813,600",7,
Passage,100,"6,311,520",0,22020096,1,0,,4,,,3,
Persistence,100,"6,311,520",28.48,200000,1,0,,21,"107,270,000","418,944",4,
Regen,75,"4,360,000",18.39,200000,1,0,,20,"62,162,500","61,208",9,
Secret,80,"4,637,647",15,22020000,1,0,,34,"172,114,000","4,434,700",5,
Sentinel,80,"5,259,600",31.01,22020096,1,0,,44,"6,192,590","139,777",9,
Sifchain,115,"6,311,520",38.5,22020096,1,0,,26,"20,256,300","70,053",6,
Sommelier,50,"6,311,520",0,2000000,1,0,,14,,"33,910",2,
Stargaze,130,"5,209,273",55.74,26214400,1,0,,13,"75,659,400","319,498",10,
Cosmos Hub,175,"4,360,000",12.95,200000,1,1,,45,"4,112,310,000","503,198,000",7,
Solana,,"78,840,000",8,10000000,0,1,,33,"10,627,425,495","3,426,315,012",31,
Ethereum,,"2,628,000",.52,10000000,0,1,,89,"188,012,226,787","30,723,869,784",2,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
